province,province_id,year,suicide,population,E,debt,income,poverty,expenditure,homicide crime,property crime,shocking crime
Surin,68,2011,69,1380399,92.87849786,19165.59937,18968.59937,18.62577872,14616.77664,347.8798304,284.3124153,34.06677799
Tak,69,2011,44,531018,35.72891184,13440.81043,13243.81043,39.76612918,10910.27714,191.3184582,231.6869656,35.53733064
Trang,70,2011,55,626708,42.16729919,37774.49143,37577.49143,10.02671111,21731.9075,309.5820956,425.0708633,127.0909451
Trat,71,2011,12,222013,14.93787951,26672.60813,26475.60813,18.648857,16081.49715,153.9670406,178.9909083,21.31945749
Ubon Ratchathani,72,2011,88,1816057,122.191226,22277.94165,22080.94165,13.07709849,15483.2137,431.9881261,603.685001,51.49417786
Udon Thani,73,2011,63,1548107,104.1625303,23370.24319,23173.24319,9.97070609,18631.9119,356.8453232,526.7641934,57.91514307
Uthai Thani,74,2011,23,328034,22.07137586,18970.07333,18773.07333,18.72557102,12571.93785,138.4533168,144.9087765,20.73298251
Uttaradit,75,2011,48,461040,31.0205257,18763.73857,18566.73857,19.061742,12478.09432,158.7529014,219.67103,20.47843312
Yala,76,2011,14,493767,33.2225228,23357.72045,23160.72045,21.48539593,13852.63931,300.3806378,491.9537368,152.2688853
Yasothon,77,2011,23,538853,36.25608046,15768.23817,15571.23817,26.19561615,12218.95238,110.0351809,123.3978027,12.44900073
Amnat Charoen,1,2012,10,372868,25.087978,16969.55244,16772.55244,18.82207369,14779.59836,87.2916376,96.07547902,9.894905631
Ang Thong,2,2012,23,283972,19.10671682,24009.79121,23812.79121,12.08699794,19255.54927,138.8916015,263.9485142,20.07726666
Bangkok Metropolis,3,2012,125,5674202,381.7819038,48926.15896,48729.15896,3.363445958,32653.04403,3513.216689,9720.369383,498.5551639
Bueng Kan,4,2012,11,410124,27.59470346,18861.38433,18664.38433,4.693740614,17449.08108,91.52704094,106.9047086,17.89428982
Buri Ram,5,2012,96,1562912,105.1586671,17044.37243,16847.37243,31.96754563,13579.61934,367.1809245,298.2729573,29.89544422
Chachoengsao,6,2012,45,682545,45.92422504,27403.26521,27206.26521,4.485900141,21670.68952,335.8975684,878.0954429,52.35400256
Chai Nat,7,2012,19,333214,22.41990597,24715.4085,24518.4085,17.04575209,16857.39101,141.3658051,176.6259779,18.8497489
Chaiyaphum,8,2012,54,1130228,76.04604095,17454.53137,17257.53137,15.89391583,14405.74538,285.3445764,227.1775074,29.14814856
Chanthaburi,9,2012,46,519333,34.94270057,26229.5556,26032.5556,10.91579748,18996.77142,279.5903567,493.7070378,33.3723982
Chiang Mai,10,2012,220,1650893,111.0783635,16888.42753,16691.42753,12.69033479,14306.68401,474.8000643,1873.160021,100.0662159
Chiang Rai,11,2012,166,1199539,80.70954879,14586.93538,14389.93538,22.23300195,11839.5267,309.74388,418.7627532,60.04781808
Chon Buri,12,2012,80,1351329,90.92255763,25308.98022,25111.98022,1.243216255,23470.5226,710.8894668,2270.434932,153.1979447
Chumphon,13,2012,45,493746,33.22110984,28160.27485,27963.27485,4.476241387,22342.9929,309.1912328,341.6939409,62.96923735
Kalasin,14,2012,56,983370,66.16487583,16200.76702,16003.76702,33.71876506,12251.77193,208.3773024,378.0188428,35.02870171
Kamphaeng Phet,15,2012,67,726782,48.90065874,20123.4841,19926.4841,10.2724276,14949.41394,227.9071922,281.6633981,33.68641552
